id,Title,Locations
125,Big Eyes,Way Faire Inn on Leidsdorff
126,Big Eyes,Harry's Bar on Fillmore
127,Big Sur,"Tosca Cafթ (242 Columbus Avenue, North Beach)"
128,Big Touble in Little China,"Tosca Cafթ (242 Columbus Avenue, North Beach)"
129,Birdman of Alcatraz,Alcatraz Island
130,Birdman of Alcatraz,Pier 43 1/2
131,Blue Jasmine,Real Guitars
132,Blue Jasmine,5546 Geary Ave
133,Blue Jasmine,Jones & Pacific
134,Blue Jasmine,Pacific & Divisadero
135,Blue Jasmine,Lombard & Hyde
136,Blue Jasmine,2898 Broadway
137,Blue Jasmine,Motel Capri
138,Blue Jasmine,Marina Green
139,Blue Jasmine,Ocean Beach at Lincoln
140,Blue Jasmine,Heald College
141,Blue Jasmine,Marina Blvd from Leguna to Baker
142,Blue Jasmine,330 Santa Clara Ave.
143,Blue Jasmine,200 Post St. 
144,Blue Jasmine,2179 48th Ave
145,Blue Jasmine,The Ramp Restaurant
146,Blue Jasmine,303-305 S. Van Ness
147,Blue Jasmine,3563 20th St.
148,Blue Jasmine,Taylor & Green St.
149,Blue Jasmine,Grant & Washington St.
150,Blue Jasmine,2934 24th St.
151,Blue Jasmine,1138 Alabama St
152,Blue Jasmine,South Park
153,Blue Jasmine,2915 16th St.
154,Blue Jasmine,Trolly Car from Market and 11th
155,Blue Jasmine,Aub Zam Zam Bar
156,Blue Jasmine,790 Ulloa 
157,Blue Jasmine,SFO International Airport Terminal 3
158,Blue Jasmine,2178 Palou Ave.
159,Boys and Girls,Fisherman's Wharf
160,Boys and Girls,1122 Folsom Street
161,Boys and Girls,Ferry Building
162,Boys and Girls,Coit Tower
163,Boys and Girls,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
164,Boys and Girls,City Hall
165,Boys and Girls,Lombard Street
166,Boys and Girls,Chinatown
167,Boys and Girls,Aquatic Park (Jefferson Street)
168,Boys and Girls,Alcatraz Island
169,Boys and Girls,628 Cole Street
170,Boys and Girls,Golden Gate Bridge
171,Broken-A Modern Love Story ,0-100 block Halleck Street
172,Broken-A Modern Love Story ,Ina Coolbrith Park (1700 Taylor Street)
173,Bullitt,Filbert & Taylor Streets (Russian Hill)
174,Bullitt,Bayshore Blvd near Cesar Chavez (Bayview)
175,Bullitt,Taylor & Vallejo Streets (Russian Hill)
176,Bullitt,"SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)"
177,Bullitt,McClaren Park (Vistacon Valley)
178,Bullitt,Mark Hopkins Hotel (999 California Street)
179,Bullitt,Marina Green (Marina District)
180,Bullitt,Mansell & University Streets (Vistacon Valley)
181,Bullitt,Larkin & Francisco Streets (Russian Hill)
182,Bullitt,Larkin & Chestnut Streets (Russian Hill)
183,Bullitt,Kennedy Hotel (226 Embarcadero at Howard Street)
184,Bullitt,John Muir Drive (Lake Merced)
185,Bullitt,Intersection of York & Peralta (Bernal Heights)
186,Bullitt,Enrico's Cafթ (504 Broadway)
187,Bullitt,Columbus & Lombard Streets (North Beach)
188,Bullitt,Cesar Chavez & Mission Street (Mission)
189,Bullitt,"Candlestick Park Exit, Highway 101"
190,Bullitt,Cafթ Cantata (2040 Union Street)
191,Bullitt,Brocklebank Apartments (1000 Mason Street)
192,Bullitt,Bay Bridge
193,Bullitt,2700 Vallejo Street (Pacific Heights)
194,Bullitt,20th & Vermont Streets (Potrero Hill)
195,Bullitt,1153-57 Taylor Street
196,Burglar,Green Valley Restaurant (510 Green Street Near Grant)
197,Burglar,1627 Haight Street
198,Burglar,1400 18th Street
199,Burglar,California Academy of Sciences (Golden Gate Park)
200,By Hook or By Crook,"Royan Hotel (405 Valencia Street, Mission District)"
201,By Hook or By Crook,"Department of Public Health (101 Grove Street at Polk, Civic Center)"
202,By Hook or By Crook,The Lexington Club (3464 19th Street at Lexington)
203,Can't Stop the Music,101 Henry Adams Place
204,Cardinal X,119 Utah
205,Cardinal X,100 Alemany Blvd.
206,Cardinal X,812 22nd St. and Tennessee
207,Cardinal X,3639 Taraval St
208,Cardinal X,1458 33rd Ave.
209,Cardinal X,Lyon at Chestnut St.
210,Cardinal X,1559 Underwood Avenue between Lane and Keith
211,Cardinal X,1465 Revere Avenue between Keith and Jennings
212,Cardinal X,1601 Lane St.
213,Cardinal X,420 Mason St.
214,Casualties of War,Mission Delores Park (Mission District) via J-Church MUNI Train
215,Chan is Missing,"Li Po (916 Grant Avenue at Washington, Chinatown)"
216,Chan is Missing,Golden Dragon Restaurant (816 Washington Street at Grant)
217,Cherish,387 Fair Oaks at 25th Street
218,Chu Chu and the Philly Flash,22nd and Carolina Streets (Potrero Hill)
219,Chu Chu and the Philly Flash,Transbay Terminal (Mission Street at 1st Street)
220,Chu Chu and the Philly Flash,"Fairmont Hotel (950 Mason Street, Nob Hill)"
221,City of Angels,San Francisco Public Library Main Branch (100 Larkin Street)
222,Class Action,City Hall
223,Class Action,"Mission Delores (3321 16th Street, Mision District)"
224,Class Action,Bix Restaurant (56 Gold Street)
225,Common Threads: Stories From the Quilt,The Castro
226,Confessions of a Burning Man,The Castro
227,Copycat,82 & 67 Rico Way (Marina District)
228,Copycat,Treasure Island
229,Copycat,Twin Peaks
230,Copycat,Sound Factory (1st and Harrison Streets)
231,Copycat,"Java House (Pier 40, Embarcadero)"
232,Copycat,Alta Plaza Park
233,Crackers,La Rondalla (Valencia and 20th Streets)
234,Crackers,24th Street between Mission Street and Potrero Avenue
235,CSI: NY- episode 903,Palace of Fine Arts
236,Dark Passage,Golden Gate Bridge
237,Dark Passage,"Filbert Steps, Filbert Street"
238,Dark Passage,The Malloch Apartment Building (1360 Montgomery Street)
239,Dawn of the Planet of the Apes,California St from Mason to Kearny
240,Dawn of the Planet of the Apes,California & Powell 
241,Dawn of the Planet of the Apes,Alioto Park
242,Dawn of the Planet of the Apes,University Club
243,Dawn of the Planet of the Apes,Filbert St. from Hyde to Leavenworth
244,Dawn of the Planet of the Apes,City Hall
245,Dawn of the Planet of the Apes,Columbus & Pacific Ave
246,Days of Wine and Roses,Columbus & Pacific Ave
247,Desperate Measures,Columbus & Pacific Ave
248,Dim Sum: A Little Bit of Heart,San Francisco International Airport
249,Dim Sum: A Little Bit of Heart,"Li Po (916 Grant Avenue at Washington, Chinatown)"
250,Dim Sum: A Little Bit of Heart,Chinatown
251,Dirty Harry,"Marina Green, Marina District"
252,Dirty Harry,"Washington Square, North Beach"
253,Dirty Harry,The Embarcadero
254,Dirty Harry,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
255,Dirty Harry,San Francisco Drydock (20th and Illinois Streets)
256,Dirty Harry,Portsmouth Square (Chinatown)
257,Dirty Harry,"Mt. Davidson Cross, Mt. Davidson"
258,Dirty Harry,Mission Delores Park (Mission District)
259,Dirty Harry,"Kezar Stadium, Golden Gate Park"
260,Dirty Harry,Holiday Inn Select Downtown Hotel (750 Kearney Street)
261,Dirty Harry,Hall of Justice (850 Bryant Street)
262,Dirty Harry,Forest Hill Station- MUNI
263,Dirty Harry,Dante Building (1606 Stockton Street at Union)
264,Dirty Harry,"California Hall (625 Polk Street, Van Ness/Civic Center)"
265,Dirty Harry,Bank of America Building (555 California Street)
266,D.O.A,Westin St. Francis Hotel (335 Powell Street)
267,D.O.A,Union Square
268,D.O.A,The Embarcadero/ Ferry Building
269,D.O.A,Southern Pacific Memorial Hospital (1400 Fell Street)
270,D.O.A,Powell & California Streets
271,D.O.A,Market Street (from 6th- 4th Streets)
272,D.O.A,Market & Steuart Streets (Financial District)
273,D.O.A,Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle)
274,D.O.A,Chambord Apartments (1298 Sacramento Street at Jones)
275,Doctor Dolittle,Webster Street
276,Doctor Dolittle,Telegraph Hill Blvd (Telegraph Hill)
277,Doctor Dolittle,Larkin & Hyde Streets
278,Doctor Dolittle,Gabbiano's Restaurant (Ferry Building)
279,Doctor Dolittle,Coit Tower
280,Doctor Dolittle,2107 Union Street
281,Doctor Dolittle,2100 Green Street
282,Dopamine,"South Park (Between 2nd and 3rd Streets, Brannan and Bryant Streets)"
283,Dopamine,"Fort Point (Presidio, Golden Gate National Recreation Area)"
284,Down Periscope,"Fort Point (Presidio, Golden Gate National Recreation Area)"
285,Dr. Dolittle 2,"Building 924, Presido (Golden Gate National Recreation Area)"
286,Dr. Dolittle 2,"West Chrissy Field (Presidio, Golden Gate National Recreation Area)"
287,Dr. Dolittle 2,"Sacramento St., Between Pierce & Broderick Streets "
288,Dr. Dolittle 2,Hyde Street & Lombard Street
289,Dr. Dolittle 2,"Broadway, Between Franklin & Laguna Streets"
290,Dream for an Insomniac,Baker Beach
291,Dream for an Insomniac,Elbo Room (647 Valencia Street)
292,Dream with the Fishes,Bay Bridge
293,Dream with the Fishes,Pier 39
294,Dying Young,Pier 39
295,Edtv,Palace of Fine Arts (3301 Lyon Street)
296,Edtv,Moose's Restaurant (1652 Stockton)
297,Edtv,Mario's Bohemian Cigar Store (Washington Square)
298,Edtv,"Center for the Arts, Yerba Buena Gardens (701 Mission Street)"
299,Edtv,"Castro Theatre (429 Castro Street, The Castro)"
300,Edtv,20th & Connecticut Streets (Potrero Hill)
301,Edtv,19 Green Street (North Beach)
302,Edtv,1138 Filbert Street
303,Edtv,North Beach Video (1398 Grant Avenue at Green)
304,Escape From Alcatraz,Alcatraz Island
305,Experiment in Terror,The Sea Captain's Chest (Fisherman's Wharf)
306,Experiment in Terror,Roaring Twenties Nightclub (555 Broadway at Columbus)
307,Experiment in Terror,George Washington High School (600 32nd Avenue )
308,Experiment in Terror,"Wells Fargo Bank (1 California Street, Financial District)"
309,Experiment in Terror,"Sheraton Palace Hotel (2 Montgomery Street, Financial District)"
310,Experiment in Terror,Candlestick Park
311,Experiment in Terror,2632 Larkin Street at Lombard
312,Experiment in Terror,100 St. Germain Avenue
313,Experiment in Terror,1 Monthgomery Street at Post
314,Faces of Death,1 Monthgomery Street at Post
315,Family Plot,2230 Sacramento Street
316,Family Plot,Nob Hill
317,Family Plot,"Fairmont Hotel (950 Mason Street, Nob Hill)"
318,Family Plot,Grace Cathedral Episcopal Church (1100 California Street)
319,Fandom,1 Monthgomery Street at Post
320,Fathers' Day,1 Monthgomery Street at Post
321,Fat Man and Little Boy,"Postcard Row (Alamo Square, Hayes Valley)"
322,Fearless,90 Gold Street
323,Fearless,5th and Beale Streets
324,Fearless,400 Montgomery Street
325,Fearless,Folsom Street & Embarcadero
326,Fearless,Varennes Alley between Filbert and Union
327,Fearless,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
328,Fearless,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)"
329,Fearless,Kohl Building (400 Montgomery Street)
330,Fearless,Bank of America Building (555 California Street)
331,Final Analysis,City Hall
332,Final Analysis,"Westin St. Francis Hotel (335 Powell Street, Union Square)"
333,Final Analysis,"Public Health Service Hospital (Presidio, Golden Gate National Recreation Area)"
334,Final Analysis,"Presidio, Golden Gate National Recreation Area"
335,Final Analysis,Bix Restaurant (56 Gold Street)
336,Flower Drum Song,Golden Gate Bridge
337,Flower Drum Song,Chinatown
338,Flubber,Treasure Island
339,Forrest Gump,Palace of Fine Arts (3301 Lyon Street)
340,Foul Play,"Fort Point, Presidio"
341,Foul Play,Fort Mason (Golden Gate National Recreation Area)
342,Foul Play,Sutter & Buchannan Streets
343,Foul Play,Sutter & Baker Streets
344,Foul Play,Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street)
345,Foul Play,Sacramento & Hyde Streets (Nob Hill)
346,Foul Play,"Postcard Row (Alamo Square, Hayes Valley)"
347,Foul Play,Pawtrero Hill Bathhouse & Feed Co. (199 Mississippi Street)
348,Foul Play,Octavia & Hayes Streets (Hayes Valley)
349,Foul Play,Montgomery & Pine Streets (Financial District)
350,Foul Play,Laguna & Sacramento Streets (Pacific Heights)
351,Foul Play,"Hayes Valley Care (601 Laguna Street, Hayes Valley)"
352,Foul Play,Golden Gate & Steiner Streets (Hayes Valley)
353,Foul Play,Flood Building (870 Market Street)
354,Foul Play,"Fiesta Laundromat (898 S. Van Ness Ave., Mission)"
355,Foul Play,City Hall
356,Foul Play,California & Larkin Streets (Nob Hill)
357,Foul Play,"Asian Art Museum (200 Larkin Street, Civic Center)"
358,Foul Play,Andrew S. Hallidie Plaza (Market & Powell Streets)
359,Foul Play,430 Vallejo Street (Telegraph Hill)
360,Foul Play,24th and Castro Streets (Noe Valley)
361,Foul Play,War Memorial Opera House (401 Van Ness Avenue)
362,Freebie and the Bean,"Fairmont Hotel (950 Mason Street, Nob Hill)"
363,Freebie and the Bean,Broadway and Columbus Avenue (North Beach)
364,Freebie and the Bean,Candlestick Park (602 Jamestown Ave.)
365,Freebie and the Bean,Embarcadero Freeway
366,Freebie and the Bean,Alco Plaza
367,Freebie and the Bean,Twin Peaks
368,Freebie and the Bean,TransAmerica Pyramid (600 Montgomery Street)
369,Freebie and the Bean,Stockton Tunnel (Stockton Street at Sutter Street)
370,Freebie and the Bean,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)"
371,Freebie and the Bean,Potrero Hill
372,Freebie and the Bean,Nob Hill
373,Freebie and the Bean,Hyatt Regency Hotel (5 Embarcadero Center)
374,Freebie and the Bean,Folsom Street (SOMA)
375,Gentleman Jim,The Barbary Coast
376,George of the Jungle,First Bank (550 Montgomery Street at Commercial)
377,George of the Jungle,"Neiman Marcus (150 Stockton Street, Union Square)"
378,George of the Jungle,The Tamalpias Building (1201 Greenwich Street at Hyde)
379,George of the Jungle,755 Vallejo Street
380,George of the Jungle,Bay Bridge
381,Getting Even with Dad,Embarcadero Street Station- BART 
382,Getting Even with Dad,California & Grant Streets
383,Getting Even with Dad,War Memorial Building (401 Van Ness Avenue)
384,Getting Even with Dad,Transbay Terminal (Mission Street at 1st Street)
385,Getting Even with Dad,140 Maiden Lane
386,Getting Even with Dad,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
387,Getting Even with Dad,"Neiman Marcus (150 Stockton Street, Union Square)"
388,Getting Even with Dad,Mason Street at Jackson
389,Getting Even with Dad,M.H. de Young Memorial Museum (Golden Gate Park)
390,Getting Even with Dad,Candlestick Park (602 Jamestown Ave.)
391,God is a Communist?* (show me heart universe),Sacramento & Washington Streets
392,Godzilla,Mission & Beal
393,Godzilla,Potrero &San Bruno
394,Godzilla,Kearney & Pine St.
395,Godzilla,California & Davis St
396,Godzilla,Pine St. & Davis St
397,Godzilla,Sacramento & Front St.
398,Godzilla,Broadway & Sansome
399,Godzilla,Broadway & Columbus
400,Godzilla,Post & Jones St.
401,Godzilla,Stockton & Clay St
402,Godzilla,Bush & Kearny
403,Godzilla,Mission & Fremont St
404,Godzilla,Eddy & Taylor St.
405,Godzilla,Pier 7 (The Embarcadero)
406,Godzilla,Embarcadero & Washington
407,Godzilla,Pier 1
408,Golden Gate,University of California Hastings College of the Law
409,Golden Gate,Golden Gate Bridge
410,Golden Gate,Buena Vista Park (Haight Street at Buena Vista)
411,Golden Gate,Ross Alley (Chinatown)
412,Golden Gate,Bush Street (between Grant & Kearny Streets)
413,Greed,Hayes Street at Laguna
414,Greed,Cliff House (1090 Point Lobos Avenue)
415,Greed,Bush and Sutter Streets
416,Groove,435 23rd Street at Ilinois
417,Groove,435 23rd Street at Ilinois
418,Groove,435 23rd Street at Ilinois
419,Guess Who's Coming to Dinner,634 Raycliff Terrace
420,Guess Who's Coming to Dinner,Sutter Street between Powell and Mason
421,Guess Who's Coming to Dinner,San Francisco International Airport
422,Guess Who's Coming to Dinner,Mel's Drive-In (Corner South Van Ness & Mission St.)
423,Haiku Tunnel,"Fairmont Hotel (950 Mason Street, Nob Hill)"
424,Happy Gilmore,"Fairmont Hotel (950 Mason Street, Nob Hill)"
425,Hard to Hold,"Fairmont Hotel (950 Mason Street, Nob Hill)"
426,Harold and Maude,Conservatory of Flowers (Golden Gate Park)
427,Harold and Maude,Sutro Baths (Point Lobos Avenue)
428,Harold and Maude,Golden Gate Park
429,Heart and Souls,Stockton Tunnel (Stockton Street at Sutter Street)
430,Heart and Souls,2810 Pacific Avenue
431,Heart and Souls,War Memorial Opera House (401 Van Ness Avenue)
432,Heart and Souls,Conservatory of Flowers (Golden Gate Park)
433,Heart Beat,Washington Square Bar & Grill (1707 Powell)
434,Heart Beat,City Lights Bookstore (261 Columbus)
435,Heart Beat,San Francisco Art Institute (800 Chestnut Street)
436,"Hello Frisco, Hello",San Francisco Art Institute (800 Chestnut Street)
437,Hemingway & Gelhorn,Muni Metro East (501 Cesar Chavez)
438,Herbie Rides Again,Castagnola's Restaurant (Fisherman's Wharf)
439,Herbie Rides Again,Sheraton Palace Hotel (639 Market Street)
440,Herbie Rides Again,Golden Gate Bridge
441,Hereafter,Hobart Building (582 Market Street)
442,Hereafter,The Final Final (2990 Baker Street)
443,Hereafter,1160 Taylor Street
444,High Anxiety,"Fort Point (Presidio, Golden Gate National Recreation Area)"
445,High Anxiety,Hyatt Regency Hotel (5 Embarcadero Center)
446,High Anxiety,"Conservatory of Flowers, Golden Gate Park"
447,High Crimes,Maiden Lane
448,High Crimes,Chase H & Q  (1 Bush Street at Sansome)
449,High Crimes,Vesuvio Cafթ (255 Columbus Avenue)
450,High Crimes,Union Square
451,High Crimes,Condor Club (Columbus and Broadway)
452,High Crimes,Bank of America Building (555 California Street)
453,High Crimes,391 Pennsylvania Avnue at 19th Street
454,Homeward Bound II: Lost in San Francisco,Pier 39 (Fisherman's Wharf)
455,House of Sand and Fog,San Francisco Art Institute (800 Chestnut Street)
456,How Stella Got Her Groove Back,Marriot Hotel (55 4th Street at Market)
457,Hulk,Vallejo Street at Sansome
458,Hulk,Treasure Island
459,Hulk,Golden Gate Bridge
460,Hulk,Telegraph Hill
461,I Am Michael,Sanchez/Cumberland steps and sidewalks
462,I Am Michael,4100 20th St
463,I Am Michael,Flint & 16th (Castro)
464,I Am Michael,"Grove & Polk, thru Fulton & 6th, Masonic, 28th & 47th"
465,I Am Michael,F Train
466,I Am Michael,Ocean Beach @ Balboa
467,I Am Michael,Harvey Milk Plaza
468,Indiana Jones and the Last Crusade,Administration Building (Treasure Island)
469,Innerspace,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)"
470,Innerspace,Telegraph Hill
471,Innerspace,Golden Gate Bridge
472,Interview With The Vampire,Ferry Building
473,Interview With The Vampire,6th Street On-ramp to Highway 280
474,Interview With The Vampire,100 Market Street at 6th Street
475,Interview With The Vampire,Golden Gate Bridge
476,Invasion of the Body Snatchers,720 Steiner Street (Hayes Valley)
477,Invasion of the Body Snatchers,1227 Montgomery Street (Telegraph Hill)
478,Invasion of the Body Snatchers,Chinatown
479,Invasion of the Body Snatchers,Broadway Tunnel (Russian Hill)
480,Invasion of the Body Snatchers,"Bimbo's 365 Club (1025 Columbus Avenue, North Beach)"
481,Invasion of the Body Snatchers,32 Napier Lane
482,Invasion of the Body Snatchers,Pier 33 (Embarcadero)
483,Invasion of the Body Snatchers,"Department of Public Health (101 Grove Street at Polk, Civic Center)"
484,Invasion of the Body Snatchers,United Nations Plaza (Civic Center)
485,Invasion of the Body Snatchers,Transamerica Building (600 Montgomery Street at Clay)
486,Invasion of the Body Snatchers,San Francisco Drydock (20th and Illinois Streets)
487,Invasion of the Body Snatchers,"Ramada Plaza Hotel Downtown (1231 Market Street, Civic Center)"
488,Invasion of the Body Snatchers,"Postcard Row (Alamo Square, Hayes Valley)"
489,Invasion of the Body Snatchers,Lafayette Park (Pacific Heights)
490,Invasion of the Body Snatchers,Hamlin Hotel (385 Eddy Street)
491,Invasion of the Body Snatchers,City Hall
492,I Remember Mama,Grant Avenue (North Beach)
493,I Remember Mama,The Ferry Building
494,I Remember Mama,"Fairmont Hotel (950 Mason Street, Nob Hill)"
495,I's,1 Post Street
496,It Came From Beneath the Sea,Golden Gate Bridge
497,It Came From Beneath the Sea,Hunters Point
498,It Came From Beneath the Sea,Chrissy Field
499,Jack,San Francisco Art Institute (800 Chestnut Street)
500,Jade,Sheraton Palace Hotel (639 Market Street)
501,Jade,Washington Square (North Beach)
502,Jade,War Memorial Opera House (401 Van Ness Avenue)
503,Jade,Palace of Fine Arts
504,Jade,"Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park)"
505,Jade,Fior d' Italia (601 Union Street at Stockton)
506,Jade,"Fairmont Hotel (950 Mason Street, Nob Hill)"
507,Jade,Lombard & Hyde Streets
508,Jade,Hall of Justice (850 Bryant Street)
509,Jagged Edge,City Hall
510,Jagged Edge,Golden Gate Bridge
511,James and the Giant Peach,San Francisco Art Institute (800 Chestnut Street)
512,Joy Luck Club,901 Union Street
513,Joy Luck Club,375 Laguna Honda Blvd.
514,Joy Luck Club,180 Manchester Street
515,Joy Luck Club,610 Rhode Island Street (Potrero Hill)
516,Joy Luck Club,Hang Ah Alley (Chinatown)
517,Joy Luck Club,Horace Mann School (3351 23rd Street)
518,Julie and Jack,San Francisco Art Institute (800 Chestnut Street)
519,Junior,Chinatown Gate
520,Junior,Hyatt Fisherman's Wharf (555 Northpoint Street)
521,Junior,"Fairmont Hotel (950 Mason Street, Nob Hill)"
522,Junior,722 Steiner Street
523,Junior,2552 Hyde Street
524,Junior,United Nations Plaza (Civic Center)
525,Junior,"Postcard Row (Alamo Square, Hayes Valley)"
526,Just Like Heaven,
527,Just One Night,Ferry Building
528,Kamikaze Hearts,Market Street Between Noe and Sanchez
529,Knife Fight,California & Hyde Streets
530,Knife Fight,Green & Laguna Streets
531,Knife Fight,City Hall
532,Live Nude Girls Unite,Lusty Lady Bar (North Beach)
533,Looking,Castro St. from Market to 18th St.
534,Looking,222 Mason St. 
535,Looking,Golden Gate Bridge
536,Looking,Presidio Church at 130 Fisher Loop
537,Looking,"Tiburon Hiking Trail, Tiburon, CA"
538,Looking,Fort Funston
539,Looking,Fulsom Street Fair on Fulsom St.
540,Looking,Orphan Andy's
541,Looking,The Stud
542,Looking,Mr. S Leather
543,Looking,2866 24th St.
544,Looking,24th and Church St. 
545,Looking,Church and Duboce Muni Station
546,Looking,St. Francis Fountain
547,Looking,Muni line N- Judah
